SN,MBLSN,MAC
RYD02F5,GGB21E0531640006,C4A816003FC0
RYD02F6,GGB21E053164001N,C4AB16004B00
RYE002Z,GGB21E0531640036,C4A816005640
RYD02FW,GGB21E053164004J,C4A8160060C0
RYD02DN,GGB21E053164026N,C4A816023280
RYD02DI,GGB21E0531640278,C4A8160236C0
RYD01XT,GGB21E05316400V8,C4A816010AC0
RYD02DH,GGB21E0531640287,C4A816023E00
RYD01G0,GGB21E05316400GJ,C4A81600BAC0
RYD02DF,GGB21E0531640282,C4A816023CC0
RYE0A3X,GGB21E053164023P,C4A816021C40
RYD02CG,GGB21E053164027W,C4A816023BC0
RYD02DF,GGB21E0531640282,C4A816023CC0